主体,详情链接
Kalavinka_Musician,https://art.nelson-atkins.org/objects/15936/kalavinka-musician;jsessionid=E81865BA3139041C76B22BC6CA027947?ctx=97fdcc5c-c55a-44c6-93c2-f3a1f0d4753d&idx=119
Sheep_Pen,https://art.nelson-atkins.org/objects/16455/sheep-pen;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=120
Stand,https://art.nelson-atkins.org/objects/16582/stand;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=121
Ornament,https://art.nelson-atkins.org/objects/18391/ornament;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=122
Bust_of_a_Guardian_King,https://art.nelson-atkins.org/objects/20305/bust-of-a-guardian-king;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=123
Figurine,https://art.nelson-atkins.org/objects/17806/figurine;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=124
Equestrian_Figure,https://art.nelson-atkins.org/objects/24237/equestrian-figure;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=125
Lampstand,https://art.nelson-atkins.org/objects/25503/lampstand;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=126
Lamp_or_Socket,https://art.nelson-atkins.org/objects/26783/lamp-or-socket;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=127
Ornament,https://art.nelson-atkins.org/objects/23028/ornament;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=128
Pheasants_in_Landscape,https://art.nelson-atkins.org/objects/23616/pheasants-in-landscape;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=129
Flowers_and_Birds_of_Spring,https://art.nelson-atkins.org/objects/30123/flowers-and-birds-of-spring;jsessionid=5D38EE006A15DDBA95DECC204E67FA61?ctx=baa0e7d4-c35b-496b-b338-6ce91dd2f6a3&idx=130
